real_estate_type,district,governorate,area_m2,bedrooms_number,bathrooms_number,price,general_district,apartment_configuration,bathroom_bedroom_ratio,price_per_sq_m_2
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,135.0,2,2,6500000.0,5th settlement,2 - 2,1.0,48148.15
Apartment,Rehab City Compound - New Cairo,Cairo,166.0,3,3,7850000.0,Rehab City,3 - 3,1.0,47289.16
Apartment,The Address East Compound - 5th Settlement - New Cairo,Cairo,144.0,3,2,7700000.0,5th settlement,3 - 2,0.67,53472.22
Apartment,Rehab City Compound - New Cairo,Cairo,121.0,3,2,8200000.0,Rehab City,3 - 2,0.67,67768.6
Apartment,Rehab City Compound - New Cairo,Cairo,108.0,3,2,5800000.0,Rehab City,3 - 2,0.67,53703.7
Apartment,5th Settlement - New Cairo,Cairo,170.0,3,3,3456000.0,5th settlement,3 - 3,1.0,20329.41
Apartment,La Mirada Compound - 5th Settlement - New Cairo,Cairo,175.0,3,3,7500000.0,5th settlement,3 - 3,1.0,42857.14
Apartment,5th Settlement - New Cairo,Cairo,170.0,3,3,9900000.0,5th settlement,3 - 3,1.0,58235.29
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,161.0,3,3,14900000.0,5th settlement,3 - 3,1.0,92546.58
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,159.0,3,3,14950000.0,5th settlement,3 - 3,1.0,94025.16
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,152.0,3,3,14500000.0,5th settlement,3 - 3,1.0,95394.74
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,152.0,3,3,14515000.0,5th settlement,3 - 3,1.0,95493.42
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,138.0,2,2,14100000.0,5th settlement,2 - 2,1.0,102173.91
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,138.0,2,2,14140000.0,5th settlement,2 - 2,1.0,102463.77
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,130.0,2,2,11600000.0,5th settlement,2 - 2,1.0,89230.77
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,130.0,2,2,11700000.0,5th settlement,2 - 2,1.0,90000.0
Apartment,5th Settlement - New Cairo,Cairo,159.0,3,3,9900000.0,5th settlement,3 - 3,1.0,62264.15
Apartment,5th Settlement - New Cairo,Cairo,140.0,3,3,8700000.0,5th settlement,3 - 3,1.0,62142.86
Apartment,5th Settlement - New Cairo,Cairo,159.0,3,3,8800000.0,5th settlement,3 - 3,1.0,55345.91
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,131.0,2,3,1061600.0,1st settlement,2 - 3,1.5,8103.82
Apartment,Al Maqsad - New Capital City,Cairo,152.0,3,2,3000000.0,New Capital City,3 - 2,0.67,19736.84
Apartment,The Address East Compound - 5th Settlement - New Cairo,Cairo,171.0,3,3,10386000.0,5th settlement,3 - 3,1.0,60736.84
Apartment,5th Settlement - New Cairo,Cairo,145.0,2,3,1000000.0,5th settlement,2 - 3,1.5,6896.55
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,129.0,2,2,5500000.0,1st settlement,2 - 2,1.0,42635.66
Apartment,Mountain View Hyde Park Compound - 5th Settlement - New Cairo,Cairo,161.0,3,3,9500000.0,5th settlement,3 - 3,1.0,59006.21
Apartment,Rehab City Compound - New Cairo,Cairo,99.0,2,1,5200000.0,Rehab City,2 - 1,0.5,52525.25
Apartment,Rehab City Compound - New Cairo,Cairo,80.0,2,2,4900000.0,Rehab City,2 - 2,1.0,61250.0
Apartment,Al Maqsad - New Capital City,Cairo,182.0,2,2,5500000.0,New Capital City,2 - 2,1.0,30219.78
Apartment,Rehab City Compound - New Cairo,Cairo,176.0,3,3,7500000.0,Rehab City,3 - 3,1.0,42613.64
Apartment,Al Maqsad - New Capital City,Cairo,157.0,3,3,3512000.0,New Capital City,3 - 3,1.0,22369.43
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,140.0,3,3,6410852.0,5th settlement,3 - 3,1.0,45791.8
Apartment,The Waterway Compound - 5th Settlement - New Cairo,Cairo,132.0,2,2,12700000.0,5th settlement,2 - 2,1.0,96212.12
Apartment,5th Settlement - New Cairo,Cairo,159.0,3,3,8500000.0,5th settlement,3 - 3,1.0,53459.12
Apartment,5th Settlement - New Cairo,Cairo,147.0,3,3,7800000.0,5th settlement,3 - 3,1.0,53061.22
Apartment,5th Settlement - New Cairo,Cairo,144.0,3,3,7800000.0,5th settlement,3 - 3,1.0,54166.67
Apartment,5th Settlement - New Cairo,Cairo,140.0,3,3,7400000.0,5th settlement,3 - 3,1.0,52857.14
Apartment,5th Settlement - New Cairo,Cairo,140.0,3,3,7500000.0,5th settlement,3 - 3,1.0,53571.43
Apartment,5th Settlement - New Cairo,Cairo,121.0,2,2,7500000.0,5th settlement,2 - 2,1.0,61983.47
Apartment,5th Settlement - New Cairo,Cairo,145.0,3,3,7700000.0,5th settlement,3 - 3,1.0,53103.45
Apartment,5th Settlement - New Cairo,Cairo,145.0,3,3,7800000.0,5th settlement,3 - 3,1.0,53793.1
Apartment,Madinaty,Cairo,127.0,3,3,5420000.0,Madinaty,3 - 3,1.0,42677.17
Apartment,Promenade New Cairo Compound - 5th Settlement - New Cairo,Cairo,225.0,3,3,7385301.0,5th settlement,3 - 3,1.0,32823.56
Apartment,Scenario - New Capital City,Cairo,198.0,4,3,5836359.0,New Capital City,4 - 3,0.75,29476.56
Apartment,Sarai - Mostakbal City,Cairo,122.0,2,2,4300000.0,Mostakbal City,2 - 2,1.0,35245.9
Apartment,Madinaty,Cairo,180.0,3,3,11000000.0,Madinaty,3 - 3,1.0,61111.11
Apartment,6th Settlement - New Cairo,Cairo,181.0,3,3,8700000.0,6th settlement,3 - 3,1.0,48066.3
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,170.0,3,2,14516000.0,5th settlement,3 - 2,0.67,85388.24
Apartment,Rehab City Compound - New Cairo,Cairo,131.0,3,2,6500000.0,Rehab City,3 - 2,0.67,49618.32
Apartment,5th Settlement - New Cairo,Cairo,120.0,2,2,7500000.0,5th settlement,2 - 2,1.0,62500.0
Apartment,5th Settlement - New Cairo,Cairo,160.0,3,3,17600000.0,5th settlement,3 - 3,1.0,110000.0
